Tree,DepthIndex,Feature,Threshold
0,0,mean_integrated_flux_s9_mod,4789882.0
0,1,Temp,43.521156311035156
0,2,proton_yvelocity,10.610390663146973
0,3,alpha_bulk_speed,420.43743896484375
0,4,Bz_gse,-3.744356632232666
0,5,Speed_bulk_proton,358.98712158203125
1,0,mean_integrated_flux_s11_mod,6781114.0
1,1,Temp,44.68159484863281
1,2,proton_yvelocity,9.89430046081543
1,3,alpha_bulk_speed,417.02520751953125
1,4,alpha_density,0.030457576736807823
1,5,proton_xvelocity,-368.16278076171875
2,0,mean_integrated_flux_s9_mod,4104385.25
2,1,Temp,45.04777908325195
2,2,Speed_bulk_proton,361.7496032714844
2,3,proton_yvelocity,6.286677837371826
2,4,mean_integrated_flux_s11_mod,77208512.0
2,5,Bz_gse,-2.943690061569214
3,0,Temp,42.73063659667969
3,1,mean_integrated_flux_s9_mod,6084802.0
3,2,proton_xvelocity,-363.9822692871094
3,3,proton_yvelocity,11.099187850952148
3,4,alpha_density,0.03365584462881088
3,5,mean_integrated_flux_s9_mod,32688580.0
4,0,mean_integrated_flux_s11_mod,5277371.0
4,1,Temp,43.918087005615234
4,2,proton_yvelocity,12.325692176818848
4,3,alpha_bulk_speed,424.81475830078125
4,4,alpha_density,0.03920287266373634
4,5,Bz_gsm,-5.073660850524902
5,0,mean_integrated_flux_s9_mod,4104385.25
5,1,Temp,43.12206268310547
5,2,Speed_bulk_proton,359.6622009277344
5,3,mean_integrated_flux_s9_mod,32688580.0
5,4,mean_integrated_flux_s10_mod,76624520.0
5,5,alpha_thermal,32.711952209472656
6,0,mean_integrated_flux_s9_mod,4104385.25
6,1,Temp,43.12206268310547
6,2,Speed_bulk_proton,363.23602294921875
6,3,mean_integrated_flux_s11_mod,67595704.0
6,4,proton_yvelocity,8.196866035461426
6,5,Bx_gsm,0.33284974098205566
7,0,mean_integrated_flux_s9_mod,4789882.0
7,1,Temp,43.322330474853516
7,2,proton_xvelocity,-363.2369384765625
7,3,mean_integrated_flux_s11_mod,63033984.0
7,4,mean_integrated_flux_s9_mod,47328688.0
7,5,Temp,69.71670532226562
8,0,mean_integrated_flux_s11_mod,6781114.0
8,1,Temp,44.87083435058594
8,2,proton_xvelocity,-368.84149169921875
8,3,mean_integrated_flux_s11_mod,76504264.0
8,4,proton_yvelocity,11.099187850952148
8,5,Bz_gse,-2.495575428009033
9,0,mean_integrated_flux_s9_mod,3279858.0
9,1,Temp,42.34543228149414
9,2,proton_xvelocity,-359.66436767578125
9,3,mean_integrated_flux_s9_mod,37040700.0
9,4,proton_yvelocity,8.327800750732422
9,5,alpha_density,0.04101587459445
10,0,mean_integrated_flux_s9_mod,3279858.0
10,1,Temp,45.44057846069336
10,2,Speed_bulk_proton,363.9822692871094
10,3,mean_integrated_flux_s11_mod,72274576.0
10,4,Temp,67.41314697265625
10,5,Bz_gse,2.317192316055298
11,0,mean_integrated_flux_s9_mod,4104385.25
11,1,Temp,43.322330474853516
11,2,proton_xvelocity,-363.2369384765625
11,3,mean_integrated_flux_s9_mod,33720112.0
11,4,mean_integrated_flux_s10_mod,103424640.0
11,5,proton_yvelocity,7.8232421875
12,0,mean_integrated_flux_s9_mod,3279858.0
12,1,Temp,43.12206268310547
12,2,proton_xvelocity,-367.5121765136719
12,3,mean_integrated_flux_s9_mod,36187448.0
12,4,mean_integrated_flux_s16_mod,43211344.0
12,5,Bz_gsm,-3.8530843257904053
13,0,mean_integrated_flux_s11_mod,5277371.0
13,1,Temp,45.04777908325195
13,2,proton_xvelocity,-361.75
13,3,mean_integrated_flux_s9_mod,33974920.0
13,4,mean_integrated_flux_s10_mod,76624520.0
13,5,proton_zvelocity,-48.05134201049805
14,0,mean_integrated_flux_s11_mod,10733162.0
14,1,Temp,45.634132385253906
14,2,proton_xvelocity,-363.2369384765625
14,3,mean_integrated_flux_s9_mod,39087776.0
14,4,Temp,67.11842346191406
14,5,Bx_gse,0.5511293411254883
15,0,mean_integrated_flux_s9_mod,3279858.0
15,1,Temp,42.73063659667969
15,2,proton_xvelocity,-363.2369384765625
15,3,mean_integrated_flux_s9_mod,35070784.0
15,4,alpha_density,0.035841695964336395
15,5,proton_yvelocity,9.404853820800781
16,0,mean_integrated_flux_s9_mod,4789882.0
16,1,Temp,45.24412155151367
16,2,Speed_bulk_proton,361.7496032714844
16,3,mean_integrated_flux_s9_mod,37596056.0
16,4,mean_integrated_flux_s16_mod,53669960.0
16,5,proton_yvelocity,6.41792106628418
17,0,mean_integrated_flux_s11_mod,9442217.0
17,1,Temp,43.521156311035156
17,2,proton_xvelocity,-363.9822692871094
17,3,mean_integrated_flux_s11_mod,55579568.0
17,4,proton_yvelocity,9.651590347290039
17,5,By_gse,0.80186927318573
18,0,mean_integrated_flux_s9_mod,3279858.0
18,1,Temp,44.30527877807617
18,2,proton_yvelocity,9.288492202758789
18,3,Bz_gse,-3.2185893058776855
18,4,alpha_bulk_speed,419.03875732421875
18,5,Speed_bulk_proton,361.02130126953125
19,0,mean_integrated_flux_s9_mod,3279858.0
19,1,Temp,45.24412155151367
19,2,proton_yvelocity,10.491884231567383
19,3,alpha_bulk_speed,417.7183837890625
19,4,alpha_density,0.04329203814268112
19,5,By_gse,3.226564884185791
20,0,mean_integrated_flux_s11_mod,9442217.0
20,1,Temp,45.634132385253906
20,2,proton_yvelocity,10.727437973022461
20,3,Speed_bulk_proton,416.567626953125
20,4,alpha_density,0.03512703254818916
20,5,mean_integrated_flux_s16_mod,46690052.0
21,0,mean_integrated_flux_s9_mod,3279858.0
21,1,proton_yvelocity,11.595346450805664
21,2,Temp,45.44057846069336
21,3,alpha_bulk_speed,415.74993896484375
21,4,alpha_density,0.037270888686180115
21,5,Temp,69.02291107177734
